newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2021-02-01 08:15:41,4,8,1,8,0,BTC,8,7,2021,2,1
2021-02-01 09:21:40,8,8,1,10,1,BTC,9,7,2021,2,1
2021-02-01 11:45:06,7,9,0,11,0,BTC,11,9,2021,2,1
2021-02-02 09:39:44,4,5,0,5,0,BTC,5,5,2021,2,1
2021-02-04 16:38:44,3,9,0,13,0,BTC,13,9,2021,2,1
2021-02-04 21:36:44,4,6,0,6,1,BTC,5,6,2021,2,1
2021-02-05 14:17:45,4,4,0,7,0,BTC,7,4,2021,2,1
2021-02-05 18:52:21,13,17,0,20,1,BTC,19,17,2021,2,1
2021-02-07 14:28:58,13,26,1,30,0,BTC,30,25,2021,2,1
2021-02-08 10:47:55,14,16,1,25,1,BTC,24,15,2021,2,1
2021-02-08 13:30:19,16,23,0,29,0,BTC,29,23,2021,2,1
2021-02-09 15:59:25,4,3,0,5,0,BTC,5,3,2021,2,1
2021-02-10 00:13:37,3,4,0,5,0,BTC,5,4,2021,2,1
2021-02-10 11:08:00,4,4,2,10,0,BTC,10,2,2021,2,1
2021-02-11 14:35:37,5,8,4,9,2,BTC,7,4,2021,2,1
2021-02-12 16:19:00,6,8,5,6,2,BTC,4,3,2021,2,1
2021-02-13 08:04:31,3,7,0,7,0,BTC,7,7,2021,2,1
2021-02-13 17:30:41,23,34,0,42,0,BTC,42,34,2021,2,1
2021-02-14 04:58:47,7,13,1,12,1,BTC,11,12,2021,2,1
2021-02-14 13:29:36,3,5,0,7,0,BTC,7,5,2021,2,1
2021-02-15 03:18:37,5,5,0,6,3,BTC,3,5,2021,2,1
2021-02-15 14:35:16,3,3,0,3,0,BTC,3,3,2021,2,1
2021-02-16 09:15:41,7,16,1,17,2,BTC,15,15,2021,2,1
2021-02-16 13:29:12,10,20,0,24,0,BTC,24,20,2021,2,1
2021-02-16 19:29:43,9,13,3,15,4,BTC,11,10,2021,2,1
2021-02-17 12:09:30,4,4,0,3,0,BTC,3,4,2021,2,1
2021-02-17 17:30:24,5,8,17,6,25,BTC,-19,-9,2021,2,1
2021-02-18 20:00:58,3,4,0,3,0,BTC,3,4,2021,2,1
2021-02-19 09:35:46,15,23,1,30,1,BTC,29,22,2021,2,1
2021-02-19 11:00:18,3,0,2,2,4,BTC,-2,-2,2021,2,1
2021-02-19 11:39:27,17,23,22,33,22,BTC,11,1,2021,2,1
2021-02-19 17:24:07,15,17,1,17,1,BTC,16,16,2021,2,1
2021-02-19 17:58:33,3,3,1,3,0,BTC,3,2,2021,2,1
2021-02-19 19:24:30,12,14,0,14,0,BTC,14,14,2021,2,1
2021-02-19 21:00:17,11,26,1,18,0,BTC,18,25,2021,2,1
2021-02-19 22:15:50,3,5,0,7,0,BTC,7,5,2021,2,1
2021-02-20 04:40:45,3,5,0,4,0,BTC,4,5,2021,2,1
2021-02-20 09:11:51,5,7,0,10,0,BTC,10,7,2021,2,1
2021-02-20 12:00:05,4,6,0,6,0,BTC,6,6,2021,2,1
2021-02-21 14:36:01,16,16,26,25,22,BTC,3,-10,2021,2,1
2021-02-21 19:45:01,3,8,0,8,0,BTC,8,8,2021,2,1
2021-02-21 22:15:28,8,15,8,17,10,BTC,7,7,2021,2,1
2021-02-22 12:54:15,4,1,3,0,8,BTC,-8,-2,2021,2,1
2021-02-22 21:34:58,4,6,3,8,11,BTC,-3,3,2021,2,1
2021-02-23 07:59:55,7,2,5,5,21,BTC,-16,-3,2021,2,1
2021-02-23 12:59:00,23,26,2,36,3,BTC,33,24,2021,2,1
2021-02-23 13:55:49,4,4,0,6,0,BTC,6,4,2021,2,1
2021-02-23 20:00:08,3,4,5,7,12,BTC,-5,-1,2021,2,1
2021-02-24 20:14:34,3,2,0,4,0,BTC,4,2,2021,2,1
2021-02-24 21:35:49,5,7,3,13,5,BTC,8,4,2021,2,1
2021-02-25 03:49:00,4,3,0,4,1,BTC,3,3,2021,2,1
2021-02-25 23:09:45,4,6,1,5,1,BTC,4,5,2021,2,1
2021-02-26 09:08:50,23,36,3,47,5,BTC,42,33,2021,2,1
2021-02-26 14:15:24,16,17,2,24,1,BTC,23,15,2021,2,1
2021-02-26 16:32:17,19,29,0,34,1,BTC,33,29,2021,2,1
2021-02-26 18:51:28,6,8,0,8,0,BTC,8,8,2021,2,1
2021-02-28 12:45:54,3,5,2,6,0,BTC,6,3,2021,2,1
2021-03-01 12:18:13,8,13,0,18,0,BTC,18,13,2021,3,1
2021-03-02 08:40:34,3,5,0,5,0,BTC,5,5,2021,3,1
2021-03-02 11:00:49,5,10,2,17,0,BTC,17,8,2021,3,1
2021-03-02 17:11:14,8,11,1,24,0,BTC,24,10,2021,3,1
2021-03-02 18:06:33,5,10,0,8,0,BTC,8,10,2021,3,1
2021-03-02 20:00:28,3,10,2,9,0,BTC,9,8,2021,3,1
2021-03-03 11:23:58,3,3,0,4,0,BTC,4,3,2021,3,1
2021-03-04 14:41:35,23,2,9,3,37,BTC,-34,-7,2021,3,1
2021-03-05 03:20:00,16,22,1,19,2,BTC,17,21,2021,3,1
2021-03-05 07:02:56,7,7,3,9,5,BTC,4,4,2021,3,1
2021-03-06 13:29:00,4,5,0,6,0,BTC,6,5,2021,3,1
2021-03-07 08:04:22,3,7,0,7,0,BTC,7,7,2021,3,1
2021-03-07 15:57:36,3,4,0,6,0,BTC,6,4,2021,3,1
2021-03-07 19:36:15,6,20,1,17,0,BTC,17,19,2021,3,1
2021-03-08 10:00:49,4,4,0,6,0,BTC,6,4,2021,3,1
2021-03-08 21:26:06,7,8,0,7,0,BTC,7,8,2021,3,1
2021-03-09 09:28:50,4,8,1,11,1,BTC,10,7,2021,3,1
2021-03-09 09:41:42,4,0,2,0,5,BTC,-5,-2,2021,3,1
2021-03-10 03:28:34,4,4,0,3,0,BTC,3,4,2021,3,1
2021-03-11 20:59:05,3,5,0,5,0,BTC,5,5,2021,3,1
2021-03-12 01:21:00,3,3,0,4,0,BTC,4,3,2021,3,1
2021-03-12 11:52:54,11,12,1,22,1,BTC,21,11,2021,3,1
